strata,variable,estimate,lci,uci,type,group,est_ci,n,stratification,residence
Male,religion,82.4,82.4,82.5,Grouped,Hindu,"82.4 (82.4, 82.5)",801568,sex,Total
Male,religion,12.1,12.1,12.2,Grouped,Muslim,"12.1 (12.1, 12.2)",801568,sex,Total
Male,religion,5.4,5.4,5.5,Grouped,Other,"5.4 (5.4, 5.5)",801568,sex,Total
Female,wealthq_ur,18.5,18.4,18.6,Grouped,1,"18.5 (18.4, 18.6)",889468,sex,Total
Female,wealthq_ur,19.4,19.4,19.5,Grouped,2,"19.4 (19.4, 19.5)",889468,sex,Total
Female,wealthq_ur,20.3,20.2,20.3,Grouped,3,"20.3 (20.2, 20.3)",889468,sex,Total
Female,wealthq_ur,20.8,20.7,20.8,Grouped,4,"20.8 (20.7, 20.8)",889468,sex,Total
Female,wealthq_ur,21.1,21,21.1,Grouped,5,"21.1 (21, 21.1)",889468,sex,Total
Male,wealthq_ur,18.1,18,18.2,Grouped,1,"18.1 (18, 18.2)",801568,sex,Total
Male,wealthq_ur,19.5,19.4,19.6,Grouped,2,"19.5 (19.4, 19.6)",801568,sex,Total
Male,wealthq_ur,20.4,20.4,20.5,Grouped,3,"20.4 (20.4, 20.5)",801568,sex,Total
Male,wealthq_ur,21.1,21,21.1,Grouped,4,"21.1 (21, 21.1)",801568,sex,Total
Male,wealthq_ur,20.9,20.8,21,Grouped,5,"20.9 (20.8, 21)",801568,sex,Total
Female,bmi_category,15.5,15.3,15.7,Grouped,Underweight,"15.5 (15.3, 15.7)",609478,sex,Total
Female,bmi_category,58.4,58.1,58.6,Grouped,Normal,"58.4 (58.1, 58.6)",609478,sex,Total
Female,bmi_category,19.2,19,19.4,Grouped,Overweight,"19.2 (19, 19.4)",609478,sex,Total
Female,bmi_category,6.9,6.8,7.1,Grouped,Obese,"6.9 (6.8, 7.1)",609478,sex,Total
Female,bmi_category,0,0,0,Grouped,NA,"0 (0, 0)",609478,sex,Total
Male,bmi_category,11.6,11.2,11.9,Grouped,Underweight,"11.6 (11.2, 11.9)",88145,sex,Total
Male,bmi_category,62.6,61.9,63.2,Grouped,Normal,"62.6 (61.9, 63.2)",88145,sex,Total
Male,bmi_category,21.4,20.8,21.9,Grouped,Overweight,"21.4 (20.8, 21.9)",88145,sex,Total
Male,bmi_category,4.5,4.2,4.7,Grouped,Obese,"4.5 (4.2, 4.7)",88145,sex,Total
Male,bmi_category,0,0,0,Grouped,NA,"0 (0, 0)",88145,sex,Total
Female,bmi,22.2,22.2,22.3,Continuous,NA,"22.2 (22.2, 22.3)",458247,sex,Rural
Female,age,39,38.9,39,Continuous,NA,"39 (38.9, 39)",670881,sex,Rural
Male,bmi,22.5,22.4,22.5,Continuous,NA,"22.5 (22.4, 22.5)",65589,sex,Rural
Male,age,43.2,43.1,43.3,Continuous,NA,"43.2 (43.1, 43.3)",602665,sex,Rural
