REGCODE,variable,estimate,lci,uci,type,est_ci,n,stratification,strata,n5_state,v024,REGNAME
53,htn_unscreened,25.4,21.2,29.6,Proportion,"25.4 (21.2, 29.6)",1011,,NA,Punjab,3,Sangrur
53,htn_undiagnosed,57.3,51.1,63.6,Proportion,"57.3 (51.1, 63.6)",1011,,NA,Punjab,3,Sangrur
54,htn_unscreened,21.4,13.5,29.4,Proportion,"21.4 (13.5, 29.4)",1016,,NA,Punjab,3,Barnala
54,htn_undiagnosed,60.9,55.7,66.2,Proportion,"60.9 (55.7, 66.2)",1016,,NA,Punjab,3,Barnala
55,htn_unscreened,11.2,6.8,15.6,Proportion,"11.2 (6.8, 15.6)",497,,NA,Chandigarh,4,Chandigarh
55,htn_undiagnosed,58,50,66.1,Proportion,"58 (50, 66.1)",497,,NA,Chandigarh,4,Chandigarh
56,htn_unscreened,34,26.1,41.9,Proportion,"34 (26.1, 41.9)",615,,NA,Uttarakhand,5,Uttarkashi
56,htn_undiagnosed,78.5,73.3,83.7,Proportion,"78.5 (73.3, 83.7)",615,,NA,Uttarakhand,5,Uttarkashi
57,htn_unscreened,23.8,18.9,28.6,Proportion,"23.8 (18.9, 28.6)",662,,NA,Uttarakhand,5,Chamoli
57,htn_undiagnosed,72.9,66.9,78.9,Proportion,"72.9 (66.9, 78.9)",662,,NA,Uttarakhand,5,Chamoli
58,htn_unscreened,25,20.1,29.9,Proportion,"25 (20.1, 29.9)",668,,NA,Uttarakhand,5,Rudraprayag
58,htn_undiagnosed,70.1,65.7,74.5,Proportion,"70.1 (65.7, 74.5)",668,,NA,Uttarakhand,5,Rudraprayag
59,htn_unscreened,24.1,18.8,29.5,Proportion,"24.1 (18.8, 29.5)",642,,NA,Uttarakhand,5,Tehri Garhwal
59,htn_undiagnosed,70.6,66.5,74.7,Proportion,"70.6 (66.5, 74.7)",642,,NA,Uttarakhand,5,Tehri Garhwal
60,htn_unscreened,11.2,7.6,14.8,Proportion,"11.2 (7.6, 14.8)",583,,NA,Uttarakhand,5,Dehradun
60,htn_undiagnosed,57.2,49.8,64.6,Proportion,"57.2 (49.8, 64.6)",583,,NA,Uttarakhand,5,Dehradun
61,htn_unscreened,27.3,22,32.6,Proportion,"27.3 (22, 32.6)",618,,NA,Uttarakhand,5,Garhwal
61,htn_undiagnosed,72.8,67.2,78.4,Proportion,"72.8 (67.2, 78.4)",618,,NA,Uttarakhand,5,Garhwal
62,htn_unscreened,26.6,20.5,32.8,Proportion,"26.6 (20.5, 32.8)",856,,NA,Uttarakhand,5,Pithoragarh
62,htn_undiagnosed,67.3,62,72.6,Proportion,"67.3 (62, 72.6)",856,,NA,Uttarakhand,5,Pithoragarh
63,htn_unscreened,27.2,21.1,33.3,Proportion,"27.2 (21.1, 33.3)",746,,NA,Uttarakhand,5,Bageshwar
63,htn_undiagnosed,70.5,66.4,74.6,Proportion,"70.5 (66.4, 74.6)",746,,NA,Uttarakhand,5,Bageshwar
64,htn_unscreened,18.7,15,22.4,Proportion,"18.7 (15, 22.4)",772,,NA,Uttarakhand,5,Almora
64,htn_undiagnosed,62,57.8,66.2,Proportion,"62 (57.8, 66.2)",772,,NA,Uttarakhand,5,Almora
65,htn_unscreened,27.7,21.3,34.2,Proportion,"27.7 (21.3, 34.2)",786,,NA,Uttarakhand,5,Champawat
65,htn_undiagnosed,65.5,59.1,71.9,Proportion,"65.5 (59.1, 71.9)",786,,NA,Uttarakhand,5,Champawat
66,htn_unscreened,16.7,13.2,20.2,Proportion,"16.7 (13.2, 20.2)",807,,NA,Uttarakhand,5,Nainital
66,htn_undiagnosed,59.6,54.8,64.3,Proportion,"59.6 (54.8, 64.3)",807,,NA,Uttarakhand,5,Nainital
67,htn_unscreened,22.5,17.9,27,Proportion,"22.5 (17.9, 27)",704,,NA,Uttarakhand,5,Udham Singh Nagar
67,htn_undiagnosed,61.1,56.2,66,Proportion,"61.1 (56.2, 66)",704,,NA,Uttarakhand,5,Udham Singh Nagar
68,htn_unscreened,18.2,14.5,22,Proportion,"18.2 (14.5, 22)",693,,NA,Uttarakhand,5,Hardwar
68,htn_undiagnosed,58.6,52.9,64.4,Proportion,"58.6 (52.9, 64.4)",693,,NA,Uttarakhand,5,Hardwar
69,htn_unscreened,7.2,3.6,10.7,Proportion,"7.2 (3.6, 10.7)",509,,NA,Haryana,6,Panchkula
69,htn_undiagnosed,52.6,46.6,58.5,Proportion,"52.6 (46.6, 58.5)",509,,NA,Haryana,6,Panchkula
70,htn_unscreened,19.6,14.8,24.4,Proportion,"19.6 (14.8, 24.4)",1064,,NA,Haryana,6,Ambala
70,htn_undiagnosed,51.7,47,56.3,Proportion,"51.7 (47, 56.3)",1064,,NA,Haryana,6,Ambala
71,htn_unscreened,17.8,13.6,22.1,Proportion,"17.8 (13.6, 22.1)",1151,,NA,Haryana,6,Yamunanagar
71,htn_undiagnosed,47.2,42.7,51.7,Proportion,"47.2 (42.7, 51.7)",1151,,NA,Haryana,6,Yamunanagar
72,htn_unscreened,18.4,15.2,21.6,Proportion,"18.4 (15.2, 21.6)",1197,,NA,Haryana,6,Kurukshetra
72,htn_undiagnosed,48.8,44.5,53.1,Proportion,"48.8 (44.5, 53.1)",1197,,NA,Haryana,6,Kurukshetra
73,htn_unscreened,8.4,4.6,12.1,Proportion,"8.4 (4.6, 12.1)",427,,NA,Haryana,6,Kaithal
73,htn_undiagnosed,54.2,46,62.4,Proportion,"54.2 (46, 62.4)",427,,NA,Haryana,6,Kaithal
74,htn_unscreened,14.1,10.6,17.6,Proportion,"14.1 (10.6, 17.6)",836,,NA,Haryana,6,Karnal
74,htn_undiagnosed,47.3,40.9,53.8,Proportion,"47.3 (40.9, 53.8)",836,,NA,Haryana,6,Karnal
75,htn_unscreened,18.2,15.6,20.8,Proportion,"18.2 (15.6, 20.8)",721,,NA,Haryana,6,Panipat
75,htn_undiagnosed,46.5,40.7,52.2,Proportion,"46.5 (40.7, 52.2)",721,,NA,Haryana,6,Panipat
76,htn_unscreened,15.1,11.5,18.7,Proportion,"15.1 (11.5, 18.7)",772,,NA,Haryana,6,Sonipat
76,htn_undiagnosed,54.5,47.9,61.2,Proportion,"54.5 (47.9, 61.2)",772,,NA,Haryana,6,Sonipat
77,htn_unscreened,16.4,12.6,20.3,Proportion,"16.4 (12.6, 20.3)",580,,NA,Haryana,6,Jind
77,htn_undiagnosed,59.2,53.2,65.3,Proportion,"59.2 (53.2, 65.3)",580,,NA,Haryana,6,Jind
78,htn_unscreened,15,11.2,18.7,Proportion,"15 (11.2, 18.7)",513,,NA,Haryana,6,Fatehabad
78,htn_undiagnosed,54.7,48.2,61.1,Proportion,"54.7 (48.2, 61.1)",513,,NA,Haryana,6,Fatehabad
79,htn_unscreened,15.8,11,20.7,Proportion,"15.8 (11, 20.7)",472,,NA,Haryana,6,Sirsa
79,htn_undiagnosed,43.1,30.6,55.7,Proportion,"43.1 (30.6, 55.7)",472,,NA,Haryana,6,Sirsa
80,htn_unscreened,16,12.7,19.3,Proportion,"16 (12.7, 19.3)",702,,NA,Haryana,6,Hisar
80,htn_undiagnosed,52.3,45.8,58.8,Proportion,"52.3 (45.8, 58.8)",702,,NA,Haryana,6,Hisar
82,htn_unscreened,13.1,9.3,16.8,Proportion,"13.1 (9.3, 16.8)",730,,NA,Haryana,6,Rohtak
82,htn_undiagnosed,46.3,37,55.6,Proportion,"46.3 (37, 55.6)",730,,NA,Haryana,6,Rohtak
83,htn_unscreened,17.6,11.3,23.9,Proportion,"17.6 (11.3, 23.9)",660,,NA,Haryana,6,Jhajjar
83,htn_undiagnosed,64.8,59.6,70,Proportion,"64.8 (59.6, 70)",660,,NA,Haryana,6,Jhajjar
84,htn_unscreened,18.3,14.8,21.8,Proportion,"18.3 (14.8, 21.8)",712,,NA,Haryana,6,Mahendragarh
84,htn_undiagnosed,71.9,67.5,76.4,Proportion,"71.9 (67.5, 76.4)",712,,NA,Haryana,6,Mahendragarh
85,htn_unscreened,16.4,13.4,19.5,Proportion,"16.4 (13.4, 19.5)",721,,NA,Haryana,6,Rewari
85,htn_undiagnosed,71.5,67.9,75.1,Proportion,"71.5 (67.9, 75.1)",721,,NA,Haryana,6,Rewari
86,htn_unscreened,15.1,8.6,21.7,Proportion,"15.1 (8.6, 21.7)",404,,NA,Haryana,6,Gurgaon
86,htn_undiagnosed,66.8,59.5,74.2,Proportion,"66.8 (59.5, 74.2)",404,,NA,Haryana,6,Gurgaon
87,htn_unscreened,24.3,19,29.7,Proportion,"24.3 (19, 29.7)",466,,NA,Haryana,6,Mewat
87,htn_undiagnosed,74.6,68.2,81,Proportion,"74.6 (68.2, 81)",466,,NA,Haryana,6,Mewat
88,htn_unscreened,15.6,12.3,18.9,Proportion,"15.6 (12.3, 18.9)",850,,NA,Haryana,6,Faridabad
88,htn_undiagnosed,66.2,60.7,71.6,Proportion,"66.2 (60.7, 71.6)",850,,NA,Haryana,6,Faridabad
89,htn_unscreened,26.8,20.7,33,Proportion,"26.8 (20.7, 33)",880,,NA,Haryana,6,Palwal
89,htn_undiagnosed,65.5,59.7,71.4,Proportion,"65.5 (59.7, 71.4)",880,,NA,Haryana,6,Palwal
99,htn_unscreened,15.4,10.7,20.2,Proportion,"15.4 (10.7, 20.2)",953,,NA,Rajasthan,8,Ganganagar
99,htn_undiagnosed,43.8,34.8,52.7,Proportion,"43.8 (34.8, 52.7)",953,,NA,Rajasthan,8,Ganganagar
100,htn_unscreened,23.1,16.2,29.9,Proportion,"23.1 (16.2, 29.9)",1078,,NA,Rajasthan,8,Hanumangarh
100,htn_undiagnosed,48.9,40.1,57.8,Proportion,"48.9 (40.1, 57.8)",1078,,NA,Rajasthan,8,Hanumangarh
101,htn_unscreened,17,11.5,22.4,Proportion,"17 (11.5, 22.4)",743,,NA,Rajasthan,8,Bikaner
101,htn_undiagnosed,41.4,32.3,50.4,Proportion,"41.4 (32.3, 50.4)",743,,NA,Rajasthan,8,Bikaner
102,htn_unscreened,26.1,21.6,30.6,Proportion,"26.1 (21.6, 30.6)",1046,,NA,Rajasthan,8,Churu
102,htn_undiagnosed,53.2,46.4,59.9,Proportion,"53.2 (46.4, 59.9)",1046,,NA,Rajasthan,8,Churu
103,htn_unscreened,26.6,19.7,33.5,Proportion,"26.6 (19.7, 33.5)",1090,,NA,Rajasthan,8,Jhunjhunun
103,htn_undiagnosed,49.9,40.7,59.2,Proportion,"49.9 (40.7, 59.2)",1090,,NA,Rajasthan,8,Jhunjhunun
104,htn_unscreened,33.5,28.7,38.3,Proportion,"33.5 (28.7, 38.3)",689,,NA,Rajasthan,8,Alwar
104,htn_undiagnosed,66.4,61.9,71,Proportion,"66.4 (61.9, 71)",689,,NA,Rajasthan,8,Alwar
105,htn_unscreened,36.1,29.6,42.6,Proportion,"36.1 (29.6, 42.6)",710,,NA,Rajasthan,8,Bharatpur
105,htn_undiagnosed,64.2,57.1,71.3,Proportion,"64.2 (57.1, 71.3)",710,,NA,Rajasthan,8,Bharatpur
106,htn_unscreened,35.6,29.6,41.6,Proportion,"35.6 (29.6, 41.6)",490,,NA,Rajasthan,8,Dhaulpur
106,htn_undiagnosed,67.9,61.6,74.2,Proportion,"67.9 (61.6, 74.2)",490,,NA,Rajasthan,8,Dhaulpur
107,htn_unscreened,37,31.2,42.8,Proportion,"37 (31.2, 42.8)",460,,NA,Rajasthan,8,Karauli
107,htn_undiagnosed,62.8,55.5,70,Proportion,"62.8 (55.5, 70)",460,,NA,Rajasthan,8,Karauli
108,htn_unscreened,33,26.5,39.5,Proportion,"33 (26.5, 39.5)",498,,NA,Rajasthan,8,Sawai Madhopur
108,htn_undiagnosed,70.6,65.2,76,Proportion,"70.6 (65.2, 76)",498,,NA,Rajasthan,8,Sawai Madhopur
109,htn_unscreened,29.5,24.5,34.5,Proportion,"29.5 (24.5, 34.5)",579,,NA,Rajasthan,8,Dausa
109,htn_undiagnosed,61.2,55.2,67.1,Proportion,"61.2 (55.2, 67.1)",579,,NA,Rajasthan,8,Dausa
110,htn_unscreened,22.8,16.8,28.7,Proportion,"22.8 (16.8, 28.7)",570,,NA,Rajasthan,8,Jaipur
110,htn_undiagnosed,60.4,52.3,68.5,Proportion,"60.4 (52.3, 68.5)",570,,NA,Rajasthan,8,Jaipur
111,htn_unscreened,31.5,25.6,37.4,Proportion,"31.5 (25.6, 37.4)",840,,NA,Rajasthan,8,Sikar
111,htn_undiagnosed,64.2,57.1,71.2,Proportion,"64.2 (57.1, 71.2)",840,,NA,Rajasthan,8,Sikar
112,htn_unscreened,33.8,28.1,39.6,Proportion,"33.8 (28.1, 39.6)",683,,NA,Rajasthan,8,Nagaur
112,htn_undiagnosed,68.4,62.4,74.4,Proportion,"68.4 (62.4, 74.4)",683,,NA,Rajasthan,8,Nagaur
113,htn_unscreened,26.1,18.8,33.3,Proportion,"26.1 (18.8, 33.3)",693,,NA,Rajasthan,8,Jodhpur
113,htn_undiagnosed,67,55.8,78.2,Proportion,"67 (55.8, 78.2)",693,,NA,Rajasthan,8,Jodhpur
114,htn_unscreened,30.6,24.5,36.7,Proportion,"30.6 (24.5, 36.7)",573,,NA,Rajasthan,8,Jaisalmer
114,htn_undiagnosed,70.8,61.9,79.8,Proportion,"70.8 (61.9, 79.8)",573,,NA,Rajasthan,8,Jaisalmer
115,htn_unscreened,18.4,11.7,25.2,Proportion,"18.4 (11.7, 25.2)",415,,NA,Rajasthan,8,Barmer
115,htn_undiagnosed,81.7,74,89.4,Proportion,"81.7 (74, 89.4)",415,,NA,Rajasthan,8,Barmer
116,htn_unscreened,31.9,21.2,42.6,Proportion,"31.9 (21.2, 42.6)",446,,NA,Rajasthan,8,Jalor
116,htn_undiagnosed,80.8,74.2,87.4,Proportion,"80.8 (74.2, 87.4)",446,,NA,Rajasthan,8,Jalor
117,htn_unscreened,32.7,23,42.4,Proportion,"32.7 (23, 42.4)",517,,NA,Rajasthan,8,Sirohi
117,htn_undiagnosed,71,61.9,80.1,Proportion,"71 (61.9, 80.1)",517,,NA,Rajasthan,8,Sirohi
118,htn_unscreened,13.6,8.8,18.4,Proportion,"13.6 (8.8, 18.4)",581,,NA,Rajasthan,8,Pali
118,htn_undiagnosed,60.1,49.4,70.7,Proportion,"60.1 (49.4, 70.7)",581,,NA,Rajasthan,8,Pali
119,htn_unscreened,14.5,9.5,19.4,Proportion,"14.5 (9.5, 19.4)",630,,NA,Rajasthan,8,Ajmer
